date,firm_id,stock_return,paper_count,news_count,news_sentiment,news_ai_exposure,gt_firm_attention,gt_ai_momentum
2014-01,META,0.1449221794290414,15,0,0.0,0.0,10,18.14
2014-02,META,0.09413445560318512,10,0,0.0,0.0,10,18.14
2014-03,META,-0.12007004128796894,12,0,0.0,0.0,10,17.14
2014-04,META,-0.007636165997259692,11,0,0.0,0.0,10,17.21
2014-05,META,0.05888256877571396,13,0,0.0,0.0,10,16.86
2014-06,META,0.0630331543422793,9,0,0.0,0.0,10,18.0
2014-07,META,0.07965526855868243,6,0,0.0,0.0,10,19.29
2014-08,META,0.029869173462644172,13,0,0.0,0.0,10,17.86
2014-09,META,0.05640223928047705,4,0,0.0,0.0,10,17.64
2014-10,META,-0.05124023446810311,6,0,0.0,0.0,10,18.14
2014-11,META,0.03613843102022307,14,0,0.0,0.0,10,18.36
2014-12,META,0.004118358879112938,9,0,0.0,0.0,11,17.79
2015-01,META,-0.027044199581101602,26,0,0.0,0.0,10,17.21
2015-02,META,0.04031075124554251,6,0,0.0,0.0,11,17.07
2015-03,META,0.04115495365652011,10,0,0.0,0.0,10,17.0
2015-04,META,-0.04196073836025993,11,0,0.0,0.0,10,17.0
2015-05,META,0.0053320187619274595,13,0,0.0,0.0,11,17.07
2015-06,META,0.0830912656382723,11,0,0.0,0.0,10,16.36
2015-07,META,0.0960710062566621,4,0,0.0,0.0,10,16.71
2015-08,META,-0.048718258059476716,11,0,0.0,0.0,11,15.43
2015-09,META,0.005255492477149959,4,0,0.0,0.0,11,15.64
2015-10,META,0.13426023059416137,9,0,0.0,0.0,12,16.36
2015-11,META,0.022261470802768635,6,0,0.0,0.0,11,16.36
2015-12,META,0.004029340776716239,5,0,0.0,0.0,10,16.36
2016-01,META,0.07213832389599606,37,0,0.0,0.0,10,15.93
2016-02,META,-0.04714380906227289,13,0,0.0,0.0,11,16.14
2016-03,META,0.06715299186291301,12,0,0.0,0.0,10,16.21
2016-04,META,0.03049956371335072,10,0,0.0,0.0,11,16.21
2016-05,META,0.010460880517062954,16,0,0.0,0.0,11,17.0
2016-06,META,-0.038128108575729236,7,0,0.0,0.0,11,16.14
2016-07,META,0.08452924706821485,10,0,0.0,0.0,10,15.21
2016-08,META,0.017589150106526175,10,0,0.0,0.0,10,14.79
2016-09,META,0.01704740586333986,3,0,0.0,0.0,10,16.07
2016-10,META,0.021205275386234623,8,0,0.0,0.0,10,17.0
2016-11,META,-0.09596172402494141,10,0,0.0,0.0,10,17.93
2016-12,META,-0.028457949411091255,11,0,0.0,0.0,10,17.21
2017-01,META,0.13272495564887388,45,0,0.0,0.0,10,17.64
2017-02,META,0.04005510404523127,12,0,0.0,0.0,14,18.14
2017-03,META,0.04803029051518659,12,0,0.0,0.0,12,19.21
2017-04,META,0.057726166443449634,10,0,0.0,0.0,12,19.07
2017-05,META,0.008053232541606059,13,0,0.0,0.0,12,19.36
2017-06,META,-0.0031692201939425013,7,0,0.0,0.0,11,20.14
2017-07,META,0.12100942981683271,16,0,0.0,0.0,11,20.0
